Domain,Topic,State,Note
1-800-vermont.com,travel tourism,,Travel and Tourism Site for Vermont -- Note added 6/6/13 19:19
1800arkansas.com,,arkansas,See historical snapshot at: http://web.archive.org/web/20080120044716/http://www.1800arkansas.com/  -- Note added 1/24/14 14:38
211.getcare.com,,virginia,"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. -- Note added 5/27/14 14:14"
211virginia.org,,virginia,"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. -- Note added 1/10/14 19:17"
4thjudicialda.com,,,4th Judicial District Attorney -- Note added 1/10/14 19:17
511ny.org,department transportation,new york,"511 NY (New York State Department of Transportation), the free, official one-stop, all-encompassing telephone and Web service offering  information on transportation services and conditions throughout New York State.  -- Note added 1/24/14 14:34"
accessidaho.org,,idaho,State of Idaho (mirror website of www.idaho.gov) -- Note added 7/17/14 14:28
aces.edu,cooperative extension,alabama,Alabama Cooperative Extension System -- Note added 6/12/13 16:37
aces.nmsu.edu/pubs,cooperative extension,new mexico,New Mexico Cooperative Extension Publications -- Note added 7/25/13 17:38
adoptpakids.org,,pennsylvania,Pennsylvania Adoption Exchange -- Note added 6/30/14 15:39
adph.org,department public,alabama,Alabama Department of Public Health -- Note added 6/12/13 16:40
ag.umass.edu,,massachusetts,University of Massachusetts Center for Agriculture Research and Extension -- Note added 11/20/13 15:32
agrilifeextension.tamu.edu,,texas,Texas A&M AgriLife Extension -- Note added 3/3/15 6:32
ahfa.com,,alabama,Alabama Housing Finance Authority -- Note added 6/12/13 16:40
ahfc.us,,alaska,Alaska Housing Finance Corporation -- Note added 6/6/13 18:08
aidea.org,,alaska,Alaska Industrial Development and Export Authority -- Note added 6/6/13 18:08
ak-prepared.com,,alaska,Alaska's Department of Military and Veterans Affairs Division of Homeland Security and Emergency Management -- Note added 6/27/14 6:01
akaerospace.com,,alaska,Alaska Aerospace Corporation (Board of directors appointed by Alaska governor) -- Note added 7/23/14 15:36
akenergyauthority.org,,alaska,Alaska Energy Authority -- Note added 6/6/13 18:08
akpb.org,,alaska,Alaska Public Broadcasting Commission -- Note added 6/6/13 18:08
akrr.com,,alaska,Alaska Railroad Corporation -- Note added 6/6/13 18:08
alabama.travel,travel tourism,alabama,Travel and Tourism Site for Alabama -- Note added 6/6/13 19:22
alabamacounterdrug.com,national guard,alabama,Alabama National Guard Counterdrug Program -- Note added 1/23/14 13:41
alabamafilm.org,,alabama,Alabama Film Office -- Note added 6/12/13 16:42
alalinc.net,,alabama,"Alabama's Legal Information Center, Alabama Supreme Court and State Law Library Catalog - catalog.alalinc.net and 2.alalinc.net -- Note added 6/12/13 16:43"
alaskarailroad.com,,alaska,Alaska Railroad Corporation -- Note added 7/2/13 17:55
alaskaseafood.org,,alaska,Alaska Seafood Marketing Institute -- Note added 6/6/13 18:08
albme.org,state board,alabama,Alabama State Board of Medical Examiners (an administrative and regulatory agency of the state of Alabama) and the Medical Licensure Commission of Alabama -- Note added 6/12/13 16:46
albop.com,,alabama,Alabama Board of Pharmacy -- Note added 6/12/13 16:47
alsde.edu,department education,alabama,Alabama State Department of Education -- Note added 6/12/13 17:15
americansamoa.travel,travel tourism,american samoa,Travel and Tourism Site for American Samoa -- Note added 6/6/13 19:22
amtrakcascades.com,,oregon,"Amtrak Cascades, a train service sponsored by the state departments of transportation of Washington and Oregon. -- Note added 6/17/14 14:40"
apdcares.org,,,Agency for Persons with Disabilities (APD) -- Note added 2/25/15 15:33
apfc.org,,alaska,Alaska Permanent Fund Corporation -- Note added 6/6/13 18:08
apscservices.info,,arkansas,Arkansas Public Service Commission -- Note added 1/10/14 17:55
arbenefits.org,,arkansas,ARBenefitsfor Arkansas State and Public School Plan MembersProvided by the Employee Benefit Division of the [Arkansas] Department of Finance & Administration -- Note added 12/10/14 6:24
arfireprotection.org,,arkansas,Arkansas Fire Protection Licensing Board -- Note added 6/12/13 18:10
arguard.org,national guard,arkansas,Arkansas National Guard -- Note added 1/23/14 13:42
arizonaguide.com,travel tourism,arizona,Travel and Tourism Site for Arizona -- Note added 6/6/13 19:16
arizonalottery.com,,arizona,Arizona lottery -- Note added 11/18/13 15:03
arizonaworkforceconnection.com,,arizona,"Arizona's Workforce Connection!, a website of the Governor's Council on Workforce Policy developed to provide easy access to the workforce development system in Arizona. -- Note added 11/18/13 15:13"
ark-ives.com,,arkansas,"Arkansas History Commission, a division of the Arkansas Department of Parks and Tourism -- Note added 12/10/14 6:32"
arkansas.com,travel tourism,arkansas,Travel and Tourism Site for Arkansas -- Note added 6/6/13 19:23
arkansasctf.org,trust fund,arkansas,Arkansas Children's Trust Fund -- Note added 7/17/13 16:07
arkansased.org,department education,arkansas,Arkansas Department of Education -- Note added 12/10/14 6:56
arkansasedc.com,economic development,arkansas,Arkansas Economic Development Coorporation (AEDC) -- Note added 1/24/14 14:36
arkansasethics.com,,arkansas,Arkansas Ethics Commission -- Note added 7/17/13 16:13
arkidsfirst.com,human services,arkansas,"ARKids First health insurance, Arkansas Department of Human Services -- Note added 1/10/14 19:17"
arlpc.org,,arkansas,Arkansas Livestock and Poultry Commission -- Note added 7/17/13 16:14
armedicalboard.org,,arkansas,Arkansas State Medical Board -- Note added 7/17/13 17:16
aroptometry.org,state board,arkansas,Arkansas State Board of Optometry -- Note added 11/18/13 15:44
arptb.org,state board,arkansas,Arkansas State Board of Physical Therapy -- Note added 11/18/13 15:45
asbca.org,state board,arkansas,Arkansas State Board of Collection Agencies -- Note added 11/18/13 15:45
asdd.com,,alabama,"Alabama State Port Authority, Mobile, AL -- Note added 6/12/13 17:16"
asgteo.com,,american samoa,American Samoa Territorial Energy Office -- Note added 6/7/13 14:55
askpsc.com,,new york,New York State Public Service Commission’s Consumer Web Site -- Note added 1/10/14 19:17
asmdc.org,,california,"California State Assembly Democratic Caucus, State of California -- Note added 6/6/13 18:08"
atlfa.org,,virginia,Assistive Technology Loan Fund Authority. The authority offers low interest loans for a variety of special equipment to eligible applicants. See the establishing law at http://law.lis.virginia.gov/authorities/assistive-technology-loan-fund-authority-atlfa  -- Note added 7/23/14 15:46
azbbhe.us,,arizona,Arizona Board of Behavioral Health Examiners -- Note added 12/11/13 13:50
azcommerce.com,,arizona,Arizona Commerce Authority -- Note added 12/11/13 13:50
azdentalboard.us,state board,arizona,Arizona State Board of Dental Examiners -- Note added 12/11/13 13:50
azstateparks.com,,arizona,Arizona State Parks -- Note added 12/11/13 13:51
battleshipnc.com,,north carolina,"USS North Carolina Battleship, North Carolina Department of Cultural Resources -- Note added 3/20/14 17:19"
baxterestates.org,,washington,"Village of Baxter Estates, Port Washington, NY -- Note added 6/8/15 12:11"
bmbt.org,,north carolina,North Carolina Board of Massage & Bodywork Therapy -- Note added 9/11/15 18:20
bugfest.org,,,NC museum of natural sciences  -- Note added 9/11/15 18:50
buyctbonds.com,,connecticut,State of Connecticut Bonds -- Note added 6/27/13 19:52
calhum.org,,california,"California Humanities is an independent non-profit partner of the National Endowment for the Humanities,  nthat promotes the humanities in California in order to help create &ldquo;a state of open mind.' -- Note added 3/10/15 15:07"
californiavolunteers.org,,california,"CaliforniaVolunteers, the state office that manages programs and initiatives aimed at increasing the number of Californians engaged in service and volunteering -- Note added 11/22/13 14:11"
calsilc.org,,,CA State Independent Living Counsel advocates for persons with disabilities to enable them to live independently. n  -- Note added 3/5/15 22:35
calstrs.com,,california,California State Teachers Retirement System -- Note added 3/9/15 15:17
capitol.org,,nebraska,Nebraska State Capitol -- Note added 12/6/13 19:48
caswellcenter.org,nc division,,"Caswell Developmental Center, NC Division of State Operated Healthcare Facilities -- Note added 6/6/13 18:08"
cehtp.org,department public,california,"California Environmental Health Tracking Program, California Department of Public Health -- Note added 10/24/14 12:09"
ces.ca.uky.edu/ces,,kentucky,Univ of Kentucky Extension website -- Note added 8/27/15 16:14
cfc-hawaii.org,,guam,"Hawaii-Pacific Area Combined Federal Campaign - geographic area includes the State of Hawaii, Guam, Northern Marianas Islands, and American Samoa -- Note added 6/12/13 13:14"
cfclouisville.org,,indiana,"Tristate CFC, Indiana -- Note added 8/27/15 14:19"
cfnc.org,,north carolina,"College Foundation of North Carolina, a service of the State of North Carolina -- Note added 7/24/13 16:09"
chesapeakebay.net,,,"Chesapeake Bay Program, Restoration of the Chesapeake Bay http://www.chesapeakebay.net -- Note added 11/20/13 16:26"
chipcoverspakids.com,,pennsylvania,Pennsylvania's Children's Health Insurance Program (CHIP) -- Note added 6/6/13 18:08
choosemaryland.org,economic development,maryland,Maryland Department of Business and Economic Development -- Note added 1/10/14 19:17
chs.org,,connecticut,Connecticut Historical SocietyMuseum and Library -- Note added 12/15/14 6:22
ci.statesville.nc.us,,,"statesville, nc -- Note added 9/11/15 19:22"
clemson.edu/extension,,,"Clemson Univ, Sc -- Note added 8/28/15 13:40"
clest.org,,arkansas,Arkansas Commission on Law Enforcement Standards and Training -- Note added 7/17/13 18:34
coliseumboulevardplume.com,department transportation,alabama,"Coliseum Boulevard Plume (CBP), an area in Montgomery, Alabama, where the groundwater 10-50 feet below land surface contains trichloroethylene (TCE).  Investigation, management, and cleanup of the groundwater is being conducted by the https://www.dot.state.al.us/ Alabama Department of Transportation (ALDOT). -- Note added 9/24/14 16:14"
colorado.com,travel tourism,colorado,Travel and Tourism Site for Colorado -- Note added 6/6/13 19:23
coloradolottery.com,,colorado,Colorado lottery -- Note added 6/12/13 14:06
coloradonocall.com,,colorado,"Colorado No Call program. A private company, Data Protection Group, operates this site under contract with the Colorado Public Utilities Commission. -- Note added 7/11/14 5:54"
coloradoriverrecovery.org,,colorado,"Upper Colorado River Endangered Fish Recovery Program, U.S. Fish and Wildlife Service -- Note added 7/23/14 13:45"
completestreetsnc.org,,north carolina,North Carolina DOT Complete Streets -- Note added 1/22/14 18:53
correctionenterprises.com,department public,north carolina,"Correction Enterprises, North Carolina Department of Public Safety -- Note added 7/24/13 14:00"
crawfish.org,,louisiana,Louisiana Crawfish Promotion and Research Board (LCPRB) -- Note added 9/22/15 16:53
cscj.org,,georgia,Georgia Superior Courts -- Note added 8/25/15 14:44
ctbiglist.com,,connecticut,Connecticut State Treasury Unclaimed Property Owners List -- Note added 12/15/14 6:38
ctg.albany.edu,state university,new york,"Center for Technology at the University at Albany, State University of New York -- Note added 6/29/15 15:02"
ctlottery.org,,connecticut,Connecticut lottery -- Note added 6/12/13 14:06
ctstatelibrary.org,,connecticut,Connecticut State Library -- Note added 7/26/13 16:15
ctvisit.com,travel tourism,connecticut,Travel and Tourism Site for Connecticut -- Note added 6/6/13 19:28
cwmtf.net,trust fund,,Clean Water Management Trust Fund  -- Note added 9/11/15 19:49
cyberdriveillinois.com,,,IL Secretary of State -- Note added 7/1/14 20:19
DelawareNationalGuard.com,national guard,delaware,Delaware National Guard -- Note added 1/23/14 14:03
desncc.com,nc department,,"Division of Employment Security (DES), NC Department of Commerce (NCC) -- Note added 9/22/15 14:15"
detma.org,,massachusetts,"Massachusetts JobQuest, Massachusetts Deparment of Career Services -- Note added 12/17/14 15:04"
digitalmaine.com,,maine,"About the Digital Maine Repository The Digital Maine Repository is one of several services of the Maine State Library to facilitate digitization of - and enhanced access to - collections related to Maine history, genealogy, culture and government. The repository was designed to host a variety of media including books, images, maps and documents, as well as audio and video collections.  -- Note added 12/8/16 22:08"
discoverohio.com,travel tourism,ohio,Travel and Tourism Site for Ohio -- Note added 6/6/13 19:30
discoversouthcarolina.com,travel tourism,south carolina,Travel and Tourism Site for South Carolina -- Note added 6/6/13 19:30
dmvnow.com,,virginia,Virginia Department of Motor Vehicles -- Note added 6/6/14 20:27
doe.as,department education,american samoa,American Samoa Department of Education -- Note added 4/4/14 10:58
dornc.com,,,NC Dept of Revenue -- Note added 9/11/15 19:50
driving95.com,department transportation,north carolina,"Driving95 Corridor Planning and Finance Study website, North Carolina Department of Transportation (NCDOT) -- Note added 9/22/15 16:56"
drugcontrolprogram.org,national guard,wisconsin,Wisconsin National Guard Drug Control Program -- Note added 1/23/14 14:03
eatsmartmovemorenc.com,,,myeatsmartmovemore.com is the 'consumer' site and eatsmartmovemorenc.com is the 'program' site. -- Note added 7/24/13 16:22
ecb.org,,,Educational Communications Board of WI -- Note added 8/5/14 5:24
ehb.courtapps.com,,pennsylvania,"Environmental Hearing Board, State of Pennsylvania -- Note added 11/19/13 12:52"
ehopac.org,,,Environmental Health Officer Professional Advisory Committee -- Note added 6/14/13 19:13
elderrightsva.org,office state,virginia,Virginia Office of the State Long-Term Care Ombudsman -- Note added 8/27/15 15:01
energy.wsu.edu,state university,washington,Washington State University ExtensionEnergy Program -- Note added 11/20/14 7:13
energync.net,,,"The Energy Section in the Division of Energy, Mineral and Land Resources  -- Note added 9/11/15 19:55"
enjoyillinois.com,,illinois,Illinois Office of Tourism -- Note added 7/1/14 20:35
envhelp.org,,,environmental help website of NC -- Note added 9/11/15 19:56
environmentaltrust.org,,nebraska,Nebraska Environmental Trust -- Note added 12/6/13 19:52
ewgateway.org,,,This is a site of the east-west gateway Council of Government in the bi-state St. Louis area. -- Note added 10/1/15 20:20
exact-me.org,,,Executive Action Team (EXACT) Multilateral Working Group on Water Resources -- Note added 8/19/13 16:18
experiencewa.com,travel tourism,washington,Travel and tourism site for Washington State -- Note added 6/6/13 19:36
exploregeorgia.org,travel tourism,georgia,Travel and Tourism Site for Georgia -- Note added 6/6/13 19:36
exploreminnesota.com,travel tourism,minnesota,Travel and tourism site for state of Minnesota hosted by Explore Minnesota Tourism -- Note added 4/26/15 2:33
ext.vt.edu,cooperative extension,virginia,Virginia Cooperative Extension  -- Note added 6/6/14 20:29
ext.wsu.edu,state university,washington,Washington State University Extension -- Note added 11/20/14 7:10
ext.wvu.edu,university extension,virginia,West Virginia University Extension Service -- Note added 7/24/14 5:33
extension.iastate.edu,state university,iowa,Iowa State University Extension -- Note added 8/25/15 20:26
extension.illinois.edu,university extension,illinois,University of Illinois Extension -- Note added 11/20/13 15:35
extension.nmsu.edu,cooperative extension,new mexico,New Mexico Cooperative Extension Service -- Note added 7/25/13 17:39
extension.oregonstate.edu,state university,oregon,Oregon State University Extension Service -- Note added 6/20/14 16:52
extension.psu.edu,,,Penn State Extension -- Note added 9/30/14 13:18
extension.purdue.edu,cooperative extension,indiana,Purdue (Indiana) Cooperative Extension -- Note added 7/19/13 13:34
extension.udel.edu,cooperative extension,delaware,University of Delaware Cooperative Extension Service -- Note added 6/7/13 16:52
extension.umaine.edu,,maine,Univ of Maine extension -- Note added 8/27/15 18:13
extension.umn.edu,university extension,minnesota,University of Minnesota Extension -- Note added 12/6/13 16:23
extension.unh.edu,,,Univ of NH -- Note added 8/28/15 18:52
extension.unl.edu,,nebraska,University of Nebraska&ndash;Lincoln Extension -- Note added 11/20/13 19:17
extension.usu.edu,state university,utah,Utah State University extension -- Note added 8/21/14 5:14
fcs.okstate.edu,,,OK State Family & Consumer website -- Note added 8/28/15 16:47
fcsw.net,,florida,"The Florida Commission on the Status of Women - The Florida Commission on the Status of Women is a nonpartisan board, statutorily created in 1991, consisting of 22 appointed members. The Commission is administratively housed in the Office of the Attorney General. -- Note added 7/9/15 14:45"
filmsc.com,,,SC film industry -- Note added 8/28/15 13:47
fishandboat.com,,pennsylvania,Pennsylvania Fish and Boat Commission (PFBC) -- Note added 6/7/13 11:30
flalottery.com,,florida,Florida lottery -- Note added 6/12/13 14:07
flcourts.org,,florida,"Florida Courts - The mission of the judicial branch is to protect rights and liberties, uphold and interpret the law, and provide for the peaceful resolution of disputes. -- Note added 6/17/15 13:01"
fldoe.org,department education,florida,Florida Department of Education -- Note added 6/17/15 13:06
flgov.com,,florida,Florida Governor's Office -- Note added 6/6/13 18:08
flofr.com,,florida,"Florida Office of Financial Regulation - Key Function: provides regulatory oversight for Florida's financial services providers.  Mission: to protect the citizens of Florida, promote a safe and sound financial marketplace, and contribute to the growth of Florida's economy with smart, efficient and effective regulation of the financial services industry. -- Note added 6/17/15 13:13"
floir.com,,florida,Florida Office of Insurance Regulation - To promote a stable and competitive insurance market for consumers. -- Note added 6/17/15 13:17
floridacounterdrug.com,national guard,florida,Florida National Guard Counterdrug.  n   Florida Counterdrup Program - Under this authority our office provides oversight of the FLARNG and FLANG Substance Abuse Prevention Programs.      -- Note added 6/17/15 13:20
floridamarine.org,,florida,Florida Fish and Wildlife Conservation Commission -- Note added 7/8/14 12:46
floridaredistricting.org,,florida,Florida re-districting website.  House Speaker Will Weatherford and Senate President Don Gaetz called a special session from August 7-15 to amend Congressional Districts 5 and 10 consistent with the Final Judgment issued by the circuit court in Romo v. Detzner and to make conforming changes to districts that are a direct result of the changes to Congressional Districts 5 and 10. -- Note added 6/23/15 18:02
floridatracking.com,public health,florida,"Florida Environmental Public Health Tracking, Florida Department of Health This web portal was supported by Cooperative Agreement Number 5U38EH000941 from the Centers for Disease Control and Prevention. Its contents are solely the responsibility of the authors (FL Tracking Team) and do not necessarily represent the official views of the Centers for Disease Control and Prevention. -- Note added 7/9/15 15:15"
fltreasurehunt.org,,florida,"The state of Florida's Unclaimed Property, Florida Treasure Hunt. -- Note added 6/6/13 18:08"
flwaterpermits.com,,florida,"Florida Water Permiting Portal This portal provides links to information about water resource permitting in Florida, and links to DEP and the water management districts to: n Apply for permits and other authorizations, including: n Environmental Resource Permits * (and authorizations to use state-owned submerged lands, where applicable) Consumptive and Water Use Permits Well Construction Permits Works of the District Permits    -- Note added 6/23/15 18:21"
freshfromflorida.com,department agriculture,florida,Florida Department of Agriculture and Consumer Services -- Note added 1/10/14 19:03
fsmgov.org,,federated states of micronesia,National Government of the Federated States of Micronesia -- Note added 6/12/13 13:58
gadod.net,national guard,georgia,Georgia National Guard -- Note added 1/23/14 13:59
gadoe.org,department education,georgia,State of Georgia Department of Education -- Note added 6/6/13 18:08
galottery.com,,georgia,Georgia lottery -- Note added 6/12/13 14:07
ganocall.com,,,GA Do Not Call List. GA Dept of Law. Consumer Protection Unit.  -- Note added 8/25/15 15:32
gasdf.com,,georgia,Georgia State Defense Force -- Note added 1/23/14 14:03
gasdf.org,,georgia,Georgia State Defense Force public beta domain. Crosslinked with gasdf.us email domain.
gasdf.us,,georgia,Georgia State Defense Force email domain. Referenced on https://directory.doas.ga.gov/. Not in use as a public website.
gearupms.org,department education,mississippi,"GEAR UP Mississippi operates as part of the Institutions of Higher Learning, Office of Academic and Student Affairs in collaboration with the Mississippi Department of Education, State Board for Community and Junior Colleges and community and national partners. Funding is provided by the United States Department of Education. -- Note added 7/23/14 17:21"
geauxguard.com,national guard,,Lousiana National Guard -- Note added 1/22/14 19:28
geoinfo.nmt.edu,,new mexico,New Mexico Bureau of Geology & Mineral Resources -- Note added 7/16/14 5:13
georgiacivilwar.org,,georgia,The Georgia Civil War Commission -- Note added 8/25/15 15:31
georgiafmc.com,,georgia,The Georgia Fiscal Management Council    -- Note added 8/25/15 15:30
georgiatrust.org,,georgia,Georgia Trust (Preservation Committee) -- Note added 8/25/15 15:28
getagameplan.org,,,Governor's Office of Homeland Security and Emergency Preparedness -- Note added 1/10/14 19:17
getcollegefunds.org,,oregon,Oregon Student Access Commission -- Note added 1/10/14 19:17
gnfa.com,,,Ga National Fair Grounds and Agricenter -- Note added 8/25/15 15:27
godr.org,,georgia,Georgia Commission on Dispute Resolution -- Note added 12/5/13 14:15
gohawaii.com,travel tourism,hawaii,"Hawaii Tourism Authority, Travel and Tourism Site for Hawaii -- Note added 2/10/15 14:00"
gonefishingpa.com,,pennsylvania,Pennsylvania Fish and Boat Commission's Outdoor Shop -- Note added 6/7/13 11:34
gottobenc.com,nc department,north carolina,"Got to Be NC Agriculture, Goodness Grows in NC, North Carolina Department of Agriculture & Consumer Services -- Note added 6/28/13 16:56"
gottobencfestival.com,nc department,,"Got To Be NC Festival, a production of the NC Department of Agriculture -- Note added 8/2/13 15:48"
gotyourbackarkansas.org,,arkansas,Consumer Protection Division of the Arkansas Attorney General's Office -- Note added 1/10/14 19:17
gov.mp,,northern mariana islands,"Office of the Governor and Lt. Governor, Commonwealth of the Northern Mariana Islands plus *.gov.mp pattern for other government websites -- Note added 6/7/13 18:59"
gov.pr,,,"*.gov.pr pattern for several Puerto Rican government agencies, such as https://www.google.com/#q=site:gov.pr  -- Note added 7/23/14 14:48"
gov.vi,,,*.gov.vi pattern for Virgin Island government sites -- Note added 6/7/13 18:57
govce.net,,virginia,"Virginia Correctional Enterprises, a Department of Corrections work program to produce goods and services for agencies of the Commonwealth of Virginia  -- Note added 11/19/13 21:11"
governorbryant.com,,mississippi,"Governor Phil Bryant (Mississippi's 64th governor, 2012-) -- Note added 12/6/13 13:03"
governormorehead.net,,,Governor Morehead School for the Blind -- Note added 7/31/13 16:23
